CD_CLIENTE;NR_PROPOSTA_count;ITEM_PROPOSTA_agg_moda;HOSPEDAGEM_agg_moda;FAT_FAIXA_agg_moda;CD_PROD_agg_moda;QTD_median;QTD_sum;VL_PCT_DESC_TEMP_median;VL_PCT_DESC_TEMP_sum;VL_PCT_DESCONTO_median;VL_PCT_DESCONTO_sum;PRC_UNITARIO_median;PRC_UNITARIO_sum;VL_DESCONTO_TEMPORARIO_median;VL_DESCONTO_TEMPORARIO_sum;VL_TOTAL_median;VL_TOTAL_sum;VL_FULL_median;VL_FULL_sum;VL_DESCONTO_median;VL_DESCONTO_sum
T00053;2;1.0;ON PREMISES;Faixa 05 - De 35 M ate 50 M;5J16017014;25.5;51.0;0.0;0.0;0.0;0.0;686.3595886028934;1372.7191772057868;0.0;0.0;2158.975028442555;4317.95005688511;0.10719836288195388;0.21439672576390775;0.0;0.0
T00082;7;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;01A3374001;2.0;74.5;0.0;39.9487100658836;0.0;0.0;194.445218695761;3463.3310771312226;0.0;849.523904623961;1323.67697715163;12933.688470718756;366.618401056282;6747.453816596711;0.0;0.0
T00145;1;1.0;ON PREMISES;Faixa 03 - De 15 M ate 25 M;7TA1001079;10.0;10.0;0.0;0.0;0.0;0.0;2.34995626866715;2.34995626866715;0.0;0.0;23.4995626866715;23.4995626866715;23.4995626866715;23.4995626866715;0.0;0.0
T00336;2;1.0;ON PREMISES;Faixa 08 - De 150 M ate 300 M;1131001030-6;1.0;2.0;0.0;0.0;0.0;0.0;8611.75105512019;17223.50211024038;0.0;0.0;8611.75105512019;17223.50211024038;8611.75105512019;17223.50211024038;0.0;0.0
T00673;4;1.0;ON PREMISES;Faixa 03 - De 15 M ate 25 M;0111053007;1.0;4.0;0.0;0.0;13.45234357734322;53.80937430937288;240.28828329292548;6782.373157823334;0.0;0.0;240.28828329292548;6782.373157823334;338.86663664196;13031.352485090296;98.5783533490343;6248.97932726694
T00686;2;1.0;ON PREMISES;Faixa 09 - De 300 M ate 500 M;1131001030-6;1.0;2.0;0.0;0.0;0.0;0.0;15251.3738283011;30502.7476566022;0.0;0.0;15251.3738283011;30502.7476566022;15251.3738283011;30502.7476566022;0.0;0.0
T01085;2;5.0;ON PREMISES;Faixa 07 - De 75 M ate 150 M;2010067-2;60.0;120.0;0.0;0.0;6.30578605187964;12.61157210375928;94.06971632194055;188.1394326438811;0.0;0.0;4913.56728227276;9827.13456454552;4913.5525687719755;9827.105137543951;867.0981303505505;1734.196260701101
T01104;1;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;5J16040282;50.0;50.0;0.0;0.0;0.0;0.0;67.3836297503858;67.3836297503858;0.0;0.0;3369.18148751929;3369.18148751929;0.210192868395988;0.210192868395988;0.0;0.0
T01127;11;1.0;ON PREMISES;Faixa 00 - Ate 4.5 M;AUT.01.000590;1.0;351.0;0.0;0.0;7.59216640646309;92.95989797680954;11.1402220249874;3536.0704211683424;0.0;0.0;167.10333037481;4167.636932837766;203.929120917788;5293.194519954075;42.0385736791976;1123.1025344134423
T01134;7;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;2012101-3;9.0;1214.0;0.0;0.0;0.0;19.41761718242137;65.1177506290771;790.1864578757734;0.0;0.0;851.281117003751;81963.06532278462;759.342756367346;102503.67994318527;0.0;21764.79470136836
